Abomasnow, #460, Generation IV, 2.2 m, 135.5 kg, Frost Tree Pokemon, White, Grass, Ice, N/A, 
Arcanine, #059, Generation I, 1.9 m, 155.0 kg, Legendary Pokemon, Brown, Fire, N/A, N/A, 
Arceus, #493, Generation IV, 3.2 m, 320.0 kg, Alpha Pokemon, White, Normal, N/A, Mythical, 
Archen, #566, Generation V, 0.5 m, 9.5 kg, First Bird Pokemon, Yellow, Rock, Flying, Fossil, 
Archeops, #567, Generation V, 1.4 m, 32.0 kg, First Bird Pokemon, Yellow, Rock, Flying, Fossil, 
Arctovish, #883, Generation VIII, 2.0 m, 175.0 kg, Fossil Pokemon, Blue, Water, Ice, Fossil, 
Arctozolt, #881, Generation VIII, 2.3 m, 150.0 kg, Fossil Pokemon, Blue, Electric, Ice, Fossil, 
Ariados, #168, Generation II, 1.1 m, 33.5 kg, Long Leg Pokemon, Red, Bug, Poison, N/A, 
Armaldo, #348, Generation III, 1.5 m, 68.2 kg, Plate Pokemon, Gray, Rock, Bug, Fossil, 
Aromatisse, #683, Generation VI, 0.8 m, 15.5 kg, Fragrance Pokemon, Pink, Fairy, N/A, N/A, 
Aron, #304, Generation III, 0.4 m, 60.0 kg, Iron Armor Pokemon, Gray, Steel, Rock, N/A, 
Arrokuda, #846, Generation VIII, 0.5 m, 1.0 kg, Rush Pokemon, Brown, Water, N/A, N/A, 
Articuno, #144, Generation I, 1.7 m, 55.4 kg, Freeze Pokemon, Blue, Ice, Flying, Legendary, 
Audino, #531, Generation V, 1.1 m, 31.0 kg, Hearing Pokemon, Pink, Normal, N/A, N/A, 
Aurorus, #699, Generation VI, 2.7 m, 225.0 kg, Tundra Pokemon, Blue, Rock, Ice, Fossil, 
Avalugg, #713, Generation VI, 2.0 m, 505.0 kg, Iceberg Pokemon, Blue, Ice, N/A, N/A, 
Axew, #610, Generation V, 0.6 m, 18.0 kg, Tusk Pokemon, Green, Dragon, N/A, N/A, 
Azelf, #482, Generation IV, 0.3 m, 0.3 kg, Willpower Pokemon, Blue, Psychic, N/A, Legendary, 
Azumarill, #184, Generation II, 0.8 m, 28.5 kg, Aqua Rabbit Pokemon, Blue, Water, Fairy, N/A, 
Azurill, #298, Generation III, 0.2 m, 2.0 kg, Polka Dot Pokemon, Blue, Normal, Fairy, baby, 
Bagon, #371, Generation III, 0.6 m, 42.1 kg, Rock Head Pokemon, Blue, Dragon, N/A, N/A, 
Baltoy, #343, Generation III, 0.5 m, 21.5 kg, Clay Doll Pokemon, Brown, Ground, Psychic, N/A, 
Banette, #354, Generation III, 1.1 m, 12.5 kg, Marionette Pokemon, Black, Ghost, N/A, N/A, 
Barbaracle, #689, Generation VI, 1.3 m, 96.0 kg, Collective Pokemon, Brown, Rock, Water, N/A, 
Barboach, #339, Generation III, 0.4 m, 1.9 kg, Whiskers Pokemon, Gray, Water, Ground, N/A, 
Barraskewda, #847, Generation VIII, 1.3 m, 30.0 kg, Skewer Pokemon, Brown, Water, N/A, N/A, 
Basculin, #550, Generation V, 1.0 m, 18.0 kg, Hostile Pokemon, Green, Water, N/A, N/A, 
Bastiodon, #411, Generation IV, 1.3 m, 149.5 kg, Shield Pokemon, Gray, Rock, Steel, Fossil, 
Bayleef, #153, Generation II, 1.2 m, 15.8 kg, Leaf Pokemon, Green, Grass, N/A, N/A, 
Beartic, #614, Generation V, 2.6 m, 260.0 kg, Freezing Pokemon, White, Ice, N/A, N/A, 
Beautifly, #267, Generation III, 1.0 m, 28.4 kg, Butterfly Pokemon, Yellow, Bug, Flying, N/A, 
Beedrill, #015, Generation I, 1.0 m, 29.5 kg, Poison Bee Pokemon, Yellow, Bug, Poison, N/A, 
Beheeyem, #606, Generation V, 1.0 m, 34.5 kg, Cerebral Pokemon, Brown, Psychic, N/A, N/A, 
Beldum, #374, Generation III, 0.6 m, 95.2 kg, Iron Ball Pokemon, Blue, Steel, Psychic, N/A, 
Bellossom, #182, Generation II, 0.4 m, 5.8 kg, Flower Pokemon, Green, Grass, N/A, N/A, 
Bellsprout, #069, Generation I, 0.7 m, 4.0 kg, Flower Pokemon, Green, Grass, Poison, N/A, 
Bergmite, #712, Generation VI, 1.0 m, 99.5 kg, Ice Chunk Pokemon, Blue, Ice, N/A, N/A, 
Bewear, #760, Generation VII, 2.1 m, 135.0 kg, Strong Arm Pokemon, Pink, Normal, Fighting, N/A, 
Bibarel, #400, Generation IV, 1.0 m, 31.5 kg, Beaver Pokemon, Brown, Normal, Water, N/A, 
Bidoof, #399, Generation IV, 0.5 m, 20.0 kg, Plump Mouse Pokemon, Brown, Normal, N/A, N/A, 
Binacle, #688, Generation VI, 0.5 m, 31.0 kg, Two-Handed Pokemon, Brown, Rock, Water, N/A, 
Bisharp, #625, Generation V, 1.6 m, 70.0 kg, Sword Blade Pokemon, Red, Dark, Steel, N/A, 
Blacephalon, #806, Generation VII, 1.8 m, 13.0 kg, Fireworks Pokemon, White, Fire, Ghost, N/A, 
Blastoise, #009, Generation I, 1.6 m, 85.5 kg, Shellfish Pokemon, Blue, Water, N/A, N/A, 
Blaziken, #257, Generation III, 1.9 m, 52.0 kg, Blaze Pokemon, Red, Fire, Fighting, N/A, 
Blipbug, #824, Generation VIII, 0.4 m, 8.0 kg, Larva Pokemon, Blue, Bug, N/A, N/A, 
Blissey, #242, Generation II, 1.5 m, 46.8 kg, Happiness Pokemon, Pink, Normal, N/A, N/A, 
Blitzle, #522, Generation V, 0.8 m, 29.8 kg, Electrified Pokemon, Black, Electric, N/A, N/A, 
Boldore, #525, Generation V, 0.9 m, 102.0 kg, Ore Pokemon, Blue, Rock, N/A, N/A, 
Boltund, #836, Generation VIII, 1.0 m, 34.0 kg, Dog Pokemon, Yellow, Electric, N/A, N/A, 
Bonsly, #438, Generation IV, 0.5 m, 15.0 kg, Bonsai Pokemon, Brown, Rock, N/A, baby, 
Bouffalant, #626, Generation V, 1.6 m, 94.5 kg, Bash Buffalo Pokemon, Brown, Normal, N/A, N/A, 
Bounsweet, #761, Generation VII, 0.3 m, 3.2 kg, Fruit Pokemon, Purple, Grass, N/A, N/A, 
Braixen, #654, Generation VI, 1.0 m, 14.5 kg, Fox Pokemon, Red, Fire, N/A, N/A, 
Braviary, #628, Generation V, 1.5 m, 41.0 kg, Valiant Pokemon, Red, Normal, Flying, N/A, 
Breloom, #286, Generation III, 1.2 m, 39.2 kg, Mushroom Pokemon, Green, Grass, Fighting, N/A, 
Brionne, #729, Generation VII, 0.6 m, 17.5 kg, Pop Star Pokemon, Blue, Water, N/A, N/A, 
Bronzong, #437, Generation IV, 1.3 m, 187.0 kg, Bronze Bell Pokemon, Green, Steel, Psychic, N/A, 
Bronzor, #436, Generation IV, 0.5 m, 60.5 kg, Bronze Pokemon, Green, Steel, Psychic, N/A, 
Bruxish, #779, Generation VII, 0.9 m, 19.0 kg, Gnash Teeth Pokemon, Pink, Water, Psychic, N/A, 
Budew, #406, Generation IV, 0.2 m, 1.2 kg, Bud Pokemon, Green, Grass, Poison, baby, 
Buizel, #418, Generation IV, 0.7 m, 29.5 kg, Sea Weasel Pokemon, Brown, Water, N/A, N/A, 
Bulbasaur, #001, Generation I, 0.7 m, 6.9 kg, Seed Pokemon, Green, Grass, Poison, N/A, 
Buneary, #427, Generation IV, 0.4 m, 5.5 kg, Rabbit Pokemon, Brown, Normal, N/A, N/A, 
Bunnelby, #659, Generation VI, 0.4 m, 5.0 kg, Digging Pokemon, Brown, Normal, N/A, N/A, 
Burmy, #412, Generation IV, 0.2 m, 3.4 kg, Bagworm Pokemon, Green, Bug, N/A, N/A, 
Butterfree, #012, Generation I, 1.1 m, 32.0 kg, Butterfly Pokemon, White, Bug, Flying, N/A, 
Buzzwole, #794, Generation VII, 2.4 m, 333.6 kg, Swollen Pokemon, Red, Bug, Fighting, N/A, 
Cacnea, #331, Generation III, 0.4 m, 51.3 kg, Cactus Pokemon, Green, Grass, N/A, N/A, 
Cacturne, #332, Generation III, 1.3 m, 77.4 kg, Scarecrow Pokemon, Green, Grass, Dark, N/A, 
Calyrex, #898, Generation VIII, 1.1 m, 7.7 kg, King Pokemon, Green, Psychic, Grass, Legendary, 
Camerupt, #323, Generation III, 1.9 m, 220.0 kg, Eruption Pokemon, Red, Fire, Ground, N/A, 
Carbink, #703, Generation VI, 0.3 m, 5.7 kg, Jewel Pokemon, Gray, Rock, Fairy, N/A, 
Carkol, #838, Generation VIII, 1.1 m, 78.0 kg, Coal Pokemon, Black, Rock, Fire, N/A, 
Carnivine, #455, Generation IV, 1.4 m, 27.0 kg, Bug Catcher Pokemon, Green, Grass, N/A, N/A, 
Carracosta, #565, Generation V, 1.2 m, 81.0 kg, Prototurtle Pokemon, Blue, Water, Rock, Fossil, 
Carvanha, #318, Generation III, 0.8 m, 20.8 kg, Savage Pokemon, Red, Water, Dark, N/A, 
Cascoon, #268, Generation III, 0.7 m, 11.5 kg, Cocoon Pokemon, Purple, Bug, N/A, N/A, 
Castform, #351, Generation III, 0.3 m, 0.8 kg, Weather Pokemon, Gray, Normal, N/A, N/A, 
Caterpie, #010, Generation I, 0.3 m, 2.9 kg, Worm Pokemon, Green, Bug, N/A, N/A, 
Celebi, #251, Generation II, 0.6 m, 5.0 kg, Time Travel Pokemon, Green, Psychic, Grass, Mythical, 
Celesteela, #797, Generation VII, 9.2 m, 999.9 kg, Launch Pokemon, Green, Steel, Flying, N/A, 
Centiskorch, #851, Generation VIII, 3.0 m, 120.0 kg, Radiator Pokemon, Red, Fire, Bug, N/A, 
Chandelure, #609, Generation V, 1.0 m, 34.3 kg, Luring Pokemon, Black, Ghost, Fire, N/A, 
Chansey, #113, Generation I, 1.1 m, 34.6 kg, Egg Pokemon, Pink, Normal, N/A, N/A, 
Charizard, #006, Generation I, 1.7 m, 90.5 kg, Flame Pokemon, Red, Fire, Flying, N/A, 
Charjabug, #737, Generation VII, 0.5 m, 10.5 kg, Battery Pokemon, Green, Bug, Electric, N/A, 
Charmander, #004, Generation I, 0.6 m, 8.5 kg, Lizard Pokemon, Red, Fire, N/A, N/A, 
Charmeleon, #005, Generation I, 1.1 m, 19.0 kg, Flame Pokemon, Red, Fire, N/A, N/A, 
Chatot, #441, Generation IV, 0.5 m, 1.9 kg, Music Note Pokemon, Black, Normal, Flying, N/A, 
Cherrim, #421, Generation IV, 0.5 m, 9.3 kg, Blossom Pokemon, Purple, Grass, N/A, N/A, 
Cherubi, #420, Generation IV, 0.4 m, 3.3 kg, Cherry Pokemon, Pink, Grass, N/A, N/A, 
Chesnaught, #652, Generation VI, 1.6 m, 90.0 kg, Spiny Armor Pokemon, Green, Grass, Fighting, N/A, 
Chespin, #650, Generation VI, 0.4 m, 9.0 kg, Spiny Nut Pokemon, Green, Grass, N/A, N/A, 
Chewtle, #833, Generation VIII, 0.3 m, 8.5 kg, Snapping Pokemon, Green, Water, N/A, N/A, 
Chikorita, #152, Generation II, 0.9 m, 6.4 kg, Leaf Pokemon, Green, Grass, N/A, N/A, 
Chimchar, #390, Generation IV, 0.5 m, 6.2 kg, Chimp Pokemon, Brown, Fire, N/A, N/A, 
Chimecho, #358, Generation III, 0.6 m, 1.0 kg, Wind Chime Pokemon, Blue, Psychic, N/A, N/A, 
Chinchou, #170, Generation II, 0.5 m, 12.0 kg, Angler Pokemon, Blue, Water, Electric, N/A, 
Chingling, #433, Generation IV, 0.2 m, 0.6 kg, Bell Pokemon, Yellow, Psychic, N/A, baby, 
Cinccino, #573, Generation V, 0.5 m, 7.5 kg, Scarf Pokemon, Gray, Normal, N/A, N/A, 
Cinderace, #815, Generation VIII, 1.4 m, 33.0 kg, Striker Pokemon, White, Fire, N/A, N/A, 
Clamperl, #366, Generation III, 0.4 m, 52.5 kg, Bivalve Pokemon, Blue, Water, N/A, N/A, 
Clauncher, #692, Generation VI, 0.5 m, 8.3 kg, Water Gun Pokemon, Blue, Water, N/A, N/A, 
Clawitzer, #693, Generation VI, 1.3 m, 35.3 kg, Howitzer Pokemon, Blue, Water, N/A, N/A, 
Claydol, #344, Generation III, 1.5 m, 108.0 kg, Clay Doll Pokemon, Black, Ground, Psychic, N/A, 
Clefable, #036, Generation I, 1.3 m, 40.0 kg, Fairy Pokemon, Pink, Fairy, N/A, N/A, 
Clefairy, #035, Generation I, 0.6 m, 7.5 kg, Fairy Pokemon, Pink, Fairy, N/A, N/A, 
Cleffa, #173, Generation II, 0.3 m, 3.0 kg, Star Shape Pokemon, Pink, Fairy, N/A, baby, 
Clobbopus, #852, Generation VIII, 0.6 m, 4.0 kg, Tantrum Pokemon, Brown, Fighting, N/A, N/A, 
Cloyster, #091, Generation I, 1.5 m, 132.5 kg, Bivalve Pokemon, Purple, Water, Ice, N/A, 
Coalossal, #839, Generation VIII, 2.8 m, 310.5 kg, Coal Pokemon, Black, Rock, Fire, N/A, 
Cobalion, #638, Generation V, 2.1 m, 250.0 kg, Iron Will Pokemon, Blue, Steel, Fighting, Legendary, 
Cofagrigus, #563, Generation V, 1.7 m, 76.5 kg, Coffin Pokemon, Yellow, Ghost, N/A, N/A, 
Combee, #415, Generation IV, 0.3 m, 5.5 kg, Tiny Bee Pokemon, Yellow, Bug, Flying, N/A, 
Combusken, #256, Generation III, 0.9 m, 19.5 kg, Young Fowl Pokemon, Red, Fire, Fighting, N/A, 
Comfey, #764, Generation VII, 0.1 m, 0.3 kg, Posy Picker Pokemon, Green, Fairy, N/A, N/A, 
Conkeldurr, #534, Generation V, 1.4 m, 87.0 kg, Muscular Pokemon, Brown, Fighting, N/A, N/A, 
Copperajah, #879, Generation VIII, 3.0 m, 650.0 kg, Copperderm Pokemon, Green, Steel, N/A, N/A, 
Corphish, #341, Generation III, 0.6 m, 11.5 kg, Ruffian Pokemon, Red, Water, N/A, N/A, 
Corsola, #222, Generation II, 0.6 m, 5.0 kg, Coral Pokemon, Pink, Water, Rock, N/A, 
Corviknight, #823, Generation VIII, 2.2 m, 75.0 kg, Raven Pokemon, Purple, Flying, Steel, N/A, 
Corvisquire, #822, Generation VIII, 0.8 m, 16.0 kg, Raven Pokemon, Blue, Flying, N/A, N/A, 
Cosmoem, #790, Generation VII, 0.1 m, 999.9 kg, Protostar Pokemon, Blue, Psychic, N/A, Legendary, 
Cosmog, #789, Generation VII, 0.2 m, 0.1 kg, Nebula Pokemon, Blue, Psychic, N/A, Legendary, 
Cottonee, #546, Generation V, 0.3 m, 0.6 kg, Cotton Puff Pokemon, Green, Grass, Fairy, N/A, 
Crabominable, #740, Generation VII, 1.7 m, 180.0 kg, Woolly Crab Pokemon, White, Fighting, Ice, N/A, 
Crabrawler, #739, Generation VII, 0.6 m, 7.0 kg, Boxing Pokemon, Purple, Fighting, N/A, N/A, 
Cradily, #346, Generation III, 1.5 m, 60.4 kg, Barnacle Pokemon, Green, Rock, Grass, Fossil, 
Cramorant, #845, Generation VIII, 0.8 m, 18.0 kg, Gulp Pokemon, Blue, Flying, Water, N/A, 
Cranidos, #408, Generation IV, 0.9 m, 31.5 kg, Head Butt Pokemon, Blue, Rock, N/A, Fossil, 
Crawdaunt, #342, Generation III, 1.1 m, 32.8 kg, Rogue Pokemon, Red, Water, Dark, N/A, 
Cresselia, #488, Generation IV, 1.5 m, 85.6 kg, Lunar Pokemon, Yellow, Psychic, N/A, Legendary, 
Croagunk, #453, Generation IV, 0.7 m, 23.0 kg, Toxic Mouth Pokemon, Blue, Poison, Fighting, N/A, 
Crobat, #169, Generation II, 1.8 m, 75.0 kg, Bat Pokemon, Purple, Poison, Flying, N/A, 
Croconaw, #159, Generation II, 1.1 m, 25.0 kg, Big Jaw Pokemon, Blue, Water, N/A, N/A, 
Crustle, #558, Generation V, 1.4 m, 200.0 kg, Stone Home Pokemon, Red, Bug, Rock, N/A, 
Cryogonal, #615, Generation V, 1.1 m, 148.0 kg, Crystallizing Pokemon, Blue, Ice, N/A, N/A, 
Cubchoo, #613, Generation V, 0.5 m, 8.5 kg, Chill Pokemon, White, Ice, N/A, N/A, 
Cubone, #104, Generation I, 0.4 m, 6.5 kg, Lonely Pokemon, Brown, Ground, N/A, N/A, 
Cufant, #878, Generation VIII, 1.2 m, 100.0 kg, Copperderm Pokemon, Yellow, Steel, N/A, N/A, 
Cursola, #864, Generation VIII, 1.0 m, 0.4 kg, Coral Pokemon, White, Ghost, N/A, N/A, 
Cutiefly, #742, Generation VII, 0.1 m, 0.2 kg, Bee Fly Pokemon, Yellow, Bug, Fairy, N/A, 
Cyndaquil, #155, Generation II, 0.5 m, 7.9 kg, Fire Mouse Pokemon, Yellow, Fire, N/A, N/A, 
Darkrai, #491, Generation IV, 1.5 m, 50.5 kg, Pitch-Black Pokemon, Black, Dark, N/A, Mythical, 
Darmanitan, #555, Generation V, 1.3 m, 92.9 kg, Blazing Pokemon, Red, Fire, N/A, N/A, 
Dartrix, #723, Generation VII, 0.7 m, 16.0 kg, Blade Quill Pokemon, Brown, Grass, Flying, N/A, 
Darumaka, #554, Generation V, 0.6 m, 37.5 kg, Zen Charm Pokemon, Red, Fire, N/A, N/A, 
Decidueye, #724, Generation VII, 1.6 m, 36.6 kg, Arrow Quill Pokemon, Brown, Grass, Ghost, N/A, 
Dedenne, #702, Generation VI, 0.2 m, 2.2 kg, Antenna Pokemon, Yellow, Electric, Fairy, N/A, 
Deerling, #585, Generation V, 0.6 m, 19.5 kg, Season Pokemon, Pink, Normal, Grass, N/A, 
Deino, #633, Generation V, 0.8 m, 17.3 kg, Irate Pokemon, Blue, Dark, Dragon, N/A, 
Delcatty, #301, Generation III, 1.1 m, 32.6 kg, Prim Pokemon, Purple, Normal, N/A, N/A, 
Delibird, #225, Generation II, 0.9 m, 16.0 kg, Delivery Pokemon, Red, Ice, Flying, N/A, 
Delphox, #655, Generation VI, 1.5 m, 39.0 kg, Fox Pokemon, Red, Fire, Psychic, N/A, 
Deoxys, #386, Generation III, 1.7 m, 60.8 kg, DNA Pokemon, Red, Psychic, N/A, Mythical, 
Dewgong, #087, Generation I, 1.7 m, 120.0 kg, Sea Lion Pokemon, White, Water, Ice, N/A, 
Dewott, #502, Generation V, 0.8 m, 24.5 kg, Discipline Pokemon, Blue, Water, N/A, N/A, 
Dewpider, #751, Generation VII, 0.3 m, 4.0 kg, Water Bubble Pokemon, Green, Water, Bug, N/A, 
Dhelmise, #781, Generation VII, 3.9 m, 210.0 kg, Sea Creeper Pokemon, Green, Ghost, Grass, N/A, 
Dialga, #483, Generation IV, 5.4 m, 683.0 kg, Temporal Pokemon, White, Steel, Dragon, Legendary, 
Diancie, #719, Generation VI, 0.7 m, 8.8 kg, Jewel Pokemon, Pink, Rock, Fairy, Mythical, 
Diggersby, #660, Generation VI, 1.0 m, 42.4 kg, Digging Pokemon, Brown, Normal, Ground, N/A, 
Diglett, #050, Generation I, 0.2 m, 0.8 kg, Mole Pokemon, Brown, Ground, N/A, N/A, 
Ditto, #132, Generation I, 0.3 m, 4.0 kg, Transform Pokemon, Purple, Normal, N/A, N/A, 
Dodrio, #085, Generation I, 1.8 m, 85.2 kg, Triple Bird Pokemon, Brown, Normal, Flying, N/A, 
Doduo, #084, Generation I, 1.4 m, 39.2 kg, Twin Bird Pokemon, Brown, Normal, Flying, N/A, 
Donphan, #232, Generation II, 1.1 m, 120.0 kg, Armor Pokemon, Gray, Ground, N/A, N/A, 
Dottler, #825, Generation VIII, 0.4 m, 19.5 kg, Radome Pokemon, Yellow, Bug, Psychic, N/A, 
Doublade, #680, Generation VI, 0.8 m, 4.5 kg, Sword Pokemon, Brown, Steel, Ghost, N/A, 
Dracovish, #882, Generation VIII, 2.3 m, 215.0 kg, Fossil Pokemon, Green, Water, Dragon, Fossil, 
Dracozolt, #880, Generation VIII, 1.8 m, 190.0 kg, Fossil Pokemon, Green, Electric, Dragon, Fossil, 
Dragalge, #691, Generation VI, 1.8 m, 81.5 kg, Mock Kelp Pokemon, Brown, Poison, Dragon, N/A, 
Dragapult, #887, Generation VIII, 3.0 m, 50.0 kg, Stealth Pokemon, Green, Dragon, Ghost, pseudo-legendary, 
Dragonair, #148, Generation I, 4.0 m, 16.5 kg, Dragon Pokemon, Blue, Dragon, N/A, N/A, 
Dragonite, #149, Generation I, 2.2 m, 210.0 kg, Dragon Pokemon, Brown, Dragon, Flying, pseudo-legendary, 
Drakloak, #886, Generation VIII, 1.4 m, 11.0 kg, Caretaker Pokemon, Green, Dragon, Ghost, N/A, 
Drampa, #780, Generation VII, 3.0 m, 185.0 kg, Placid Pokemon, White, Normal, Dragon, N/A, 
Drapion, #452, Generation IV, 1.3 m, 61.5 kg, Ogre Scorpion Pokemon, Purple, Poison, Dark, N/A, 
Dratini, #147, Generation I, 1.8 m, 3.3 kg, Dragon Pokemon, Blue, Dragon, N/A, N/A, 
Drednaw, #834, Generation VIII, 1.0 m, 115.5 kg, Bite Pokemon, Green, Water, Rock, N/A, 
Dreepy, #885, Generation VIII, 0.5 m, 2.0 kg, Lingering Pokemon, Green, Dragon, Ghost, N/A, 
Drifblim, #426, Generation IV, 1.2 m, 15.0 kg, Blimp Pokemon, Purple, Ghost, Flying, N/A, 
Drifloon, #425, Generation IV, 0.4 m, 1.2 kg, Balloon Pokemon, Purple, Ghost, Flying, N/A, 
Drilbur, #529, Generation V, 0.3 m, 8.5 kg, Mole Pokemon, Gray, Ground, N/A, N/A, 
Drizzile, #817, Generation VIII, 0.7 m, 11.5 kg, Water Lizard Pokemon, Blue, Water, N/A, N/A, 
Drowzee, #096, Generation I, 1.0 m, 32.4 kg, Hypnosis Pokemon, Yellow, Psychic, N/A, N/A, 
Druddigon, #621, Generation V, 1.6 m, 139.0 kg, Cave Pokemon, Red, Dragon, N/A, N/A, 
Dubwool, #832, Generation VIII, 1.3 m, 43.0 kg, Sheep Pokemon, White, Normal, N/A, N/A, 
Ducklett, #580, Generation V, 0.5 m, 5.5 kg, Water Bird Pokemon, Blue, Water, Flying, N/A, 
Dugtrio, #051, Generation I, 0.7 m, 33.3 kg, Mole Pokemon, Brown, Ground, N/A, N/A, 
Dunsparce, #206, Generation II, 1.5 m, 14.0 kg, Land Snake Pokemon, Yellow, Normal, N/A, N/A, 
Duosion, #578, Generation V, 0.6 m, 8.0 kg, Mitosis Pokemon, Green, Psychic, N/A, N/A, 
Duraludon, #884, Generation VIII, 1.8 m, 40.0 kg, Alloy Pokemon, White, Steel, Dragon, N/A, 
Durant, #632, Generation V, 0.3 m, 33.0 kg, Iron Ant Pokemon, Gray, Bug, Steel, N/A, 
Dusclops, #356, Generation III, 1.6 m, 30.6 kg, Beckon Pokemon, Black, Ghost, N/A, N/A, 
Dusknoir, #477, Generation IV, 2.2 m, 106.6 kg, Gripper Pokemon, Black, Ghost, N/A, N/A, 
Duskull, #355, Generation III, 0.8 m, 15.0 kg, Requiem Pokemon, Black, Ghost, N/A, N/A, 
Dustox, #269, Generation III, 1.2 m, 31.6 kg, Poison Moth Pokemon, Green, Bug, Poison, N/A, 
Dwebble, #557, Generation V, 0.3 m, 14.5 kg, Rock Inn Pokemon, Red, Bug, Rock, N/A, 
Eelektrik, #603, Generation V, 1.2 m, 22.0 kg, EleFish Pokemon, Blue, Electric, N/A, N/A, 
Eelektross, #604, Generation V, 2.1 m, 80.5 kg, EleFish Pokemon, Blue, Electric, N/A, N/A, 
Eevee, #133, Generation I, 0.3 m, 6.5 kg, Evolution Pokemon, Brown, Normal, N/A, N/A, 
Eiscue, #875, Generation VIII, 1.4 m, 89.0 kg, Penguin Pokemon, Blue, Ice, N/A, N/A, 
Ekans, #023, Generation I, 2.0 m, 6.9 kg, Snake Pokemon, Purple, Poison, N/A, N/A, 
Eldegoss, #830, Generation VIII, 0.5 m, 2.5 kg, Cotton Bloom Pokemon, Green, Grass, N/A, N/A, 
Electabuzz, #125, Generation I, 1.1 m, 30.0 kg, Electric Pokemon, Yellow, Electric, N/A, N/A, 
Electivire, #466, Generation IV, 1.8 m, 138.6 kg, Thunderbolt Pokemon, Yellow, Electric, N/A, N/A, 
Electrike, #309, Generation III, 0.6 m, 15.2 kg, Lightning Pokemon, Green, Electric, N/A, N/A, 
Electrode, #101, Generation I, 1.2 m, 66.6 kg, Ball Pokemon, Red, Electric, N/A, N/A, 
Elekid, #239, Generation II, 0.6 m, 23.5 kg, Electric Pokemon, Yellow, Electric, N/A, baby, 
Elgyem, #605, Generation V, 0.5 m, 9.0 kg, Cerebral Pokemon, Blue, Psychic, N/A, N/A, 
Emboar, #500, Generation V, 1.6 m, 150.0 kg, Mega Fire Pig Pokemon, Red, Fire, Fighting, N/A, 
Emolga, #587, Generation V, 0.4 m, 5.0 kg, Sky Squirrel Pokemon, White, Electric, Flying, N/A, 
Empoleon, #395, Generation IV, 1.7 m, 84.5 kg, Emperor Pokemon, Blue, Water, Steel, N/A, 
Entei, #244, Generation II, 2.1 m, 198.0 kg, Volcano Pokemon, Brown, Fire, N/A, Legendary, 
Escavalier, #589, Generation V, 1.0 m, 33.0 kg, Cavalry Pokemon, Gray, Bug, Steel, N/A, 
Espeon, #196, Generation II, 0.9 m, 26.5 kg, Sun Pokemon, Purple, Psychic, N/A, N/A, 
Espurr, #677, Generation VI, 0.3 m, 3.5 kg, Restraint Pokemon, Gray, Psychic, N/A, N/A, 
Eternatus, #890, Generation VIII, 20.0 m, 950.0 kg, Gigantic Pokemon, Purple, Poison, Dragon, Legendary, 
